Wall time,Step,Value
1698677507.149881,0,0.6085581183433533
1698677800.7722375,1,0.6314632296562195
1698678093.9880078,2,0.6263004541397095
1698678387.2225308,3,0.6302759051322937
1698678680.5601976,4,0.6298374533653259
1698678974.3239496,5,0.6297730207443237
1698679267.9734643,6,0.6306845545768738
1698679561.997115,7,0.6297600865364075
1698679855.6367054,8,0.6312021613121033
1698680149.2970061,9,0.6333216428756714
1698680443.302412,10,0.6368624567985535
1698680736.8338497,11,0.6236062049865723
1698681029.9866054,12,0.6354065537452698
1698681322.9410076,13,0.6327157020568848
1698681616.3700287,14,0.6349558234214783
1698681909.9203196,15,0.6362999677658081
1698682203.8598971,16,0.6332497000694275
1698682497.6700685,17,0.632990837097168
1698682790.8929424,18,0.638970136642456
1698683084.3646739,19,0.6346659064292908
1698683378.4210827,20,0.6354106068611145
1698683672.1446545,21,0.6373471617698669
1698683965.5317657,22,0.6368923187255859
1698684258.6388903,23,0.6378718018531799
1698684551.9976275,24,0.6362139582633972
1698684845.6493886,25,0.6356056332588196
1698685139.5205774,26,0.6357108950614929
1698685433.3025732,27,0.6379289627075195
1698685726.8524137,28,0.6371882557868958
1698686020.2166326,29,0.6389129161834717
1698686314.017841,30,0.6370923519134521
1698686607.4663422,31,0.6357715129852295
1698686901.2047899,32,0.6380642056465149
1698687194.6379845,33,0.6372165083885193
1698687488.4108243,34,0.6403549909591675
1698687781.5671117,35,0.6394392251968384
1698688075.2730777,36,0.6382370591163635
1698688369.15337,37,0.6381636261940002
1698688662.847764,38,0.636748731136322
1698688956.3329813,39,0.636175274848938
1698689250.4141376,40,0.638881504535675
1698689543.5041385,41,0.6364938020706177
1698689836.7900295,42,0.6428734660148621
1698690130.0737169,43,0.6410804986953735
1698690423.9018908,44,0.638482928276062
1698690717.4482565,45,0.6309082508087158
1698691010.779622,46,0.6381037831306458
1698691304.483939,47,0.6375803351402283
1698691597.7047303,48,0.639393150806427
1698691890.0084047,49,0.6380794048309326
1698692182.507421,50,0.6371902823448181
1698692474.5142348,51,0.6384416222572327
1698692766.4586916,52,0.6392862200737
1698693058.6084743,53,0.6400435566902161
1698693351.008954,54,0.6385679841041565
1698693643.1784358,55,0.6361268162727356
1698693935.9101522,56,0.6360507607460022
1698694228.159624,57,0.6404823660850525
1698694520.532286,58,0.6393684148788452
1698694813.0217605,59,0.6379926800727844
1698695105.026821,60,0.6399640440940857
1698695397.3292458,61,0.639894962310791
1698695689.5056374,62,0.641692042350769
1698695981.5120008,63,0.6405567526817322
1698696274.105058,64,0.6391168832778931
1698696566.3600695,65,0.6383081078529358
1698696858.760416,66,0.6389891505241394
1698697151.8695881,67,0.6399499773979187
1698697444.2184536,68,0.6363888382911682
1698697736.1784906,69,0.6388590931892395
1698698028.5510266,70,0.6400683522224426
1698698321.0135775,71,0.6396830677986145
1698698613.1832073,72,0.6365042924880981
1698698905.5203865,73,0.6406658291816711
1698699197.8275616,74,0.6381388902664185
1698699490.2108998,75,0.6416515111923218
1698699782.586927,76,0.6385031342506409
1698700075.438211,77,0.6404009461402893
1698700367.7053542,78,0.6408088803291321
1698700659.8077924,79,0.6415894031524658
1698700951.7087262,80,0.6398649215698242
1698701244.1923413,81,0.6405851244926453
1698701536.457013,82,0.6409400701522827
1698701829.1897643,83,0.6388539671897888
1698702121.8972723,84,0.6399348974227905
1698702414.233293,85,0.6407895088195801
1698702707.3936007,86,0.6408068537712097
1698702999.7665033,87,0.6407339572906494
1698703291.7212722,88,0.6428103446960449
1698703584.0491722,89,0.6387128233909607
1698703876.3054986,90,0.6420753598213196
1698704168.6129968,91,0.639825165271759
1698704461.254722,92,0.6420198678970337
1698704754.1101696,93,0.6401522159576416
1698705046.8414838,94,0.6404430270195007
1698705339.7476974,95,0.6408304572105408
1698705631.7203484,96,0.6389428973197937
1698705923.892601,97,0.6405302286148071
1698706215.9843235,98,0.6385499835014343
1698706508.2989671,99,0.6419473886489868
1698706800.4897037,100,0.6394050121307373
1698707092.8651526,101,0.6399443745613098
